vardas,pavarde,email,telefonas,skaitytojo_kortele,username,password
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,36519742,gpetrauskait,NRAkvQLa
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,87146264,ppetrauskas,IlbbhAjf
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,86524891,opetrauskait,JUgiqGMO
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,32363322,durbonas,N4H3WUx0
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,57556936,aliauskas,A218f6qU
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,38122305,kurbonas,F094SJ1v
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,31493116,gjankauskait,3uFwIPfW
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,35057165,gkazlauskait,qqtrh3J7
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,82825544,ljonait,8SfELgpe
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,97899149,obaranauskait,PfnmHxFW
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,23360395,jaliauskas,D992f7VK
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,92498061,mpupinis,k86LFAxE
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,64382462,gpetrauskait,BiI44qhs
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,40564288,mpupinis,TBkDz9qC
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,96835764,ijankauskait,OLGVUGlc
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,84169506,jjonaitis,XpCxYuVH
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,44101862,gbaranauskait,KuvXKGg2
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,61902848,gjankauskait,oseGPALn
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,48365414,rjonait,XpjRus4B
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,31664864,ovasiliauskait,BLgXybH2
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,49645353,gpetrauskait,rO1guDXu
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,78611836,ppetrauskas,OjO18Tkl
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,27310081,opetrauskait,7J0ZjuBS
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,86004039,durbonas,wKSCovki
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,98316441,aliauskas,7z2Eh1V5
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,28396397,kurbonas,9BbRk9VN
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,17030985,gjankauskait,WYp8f07P
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,42668623,gkazlauskait,4G3BHnfB
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,14960385,ljonait,am2xd5EP
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,68288494,obaranauskait,99IQAIqE
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,83428143,jaliauskas,VbUsdP1U
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,71113172,mpupinis,1BXnrtQ8
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,52572100,gpetrauskait,4DufDYTJ
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,20036555,mpupinis,zBzozMgB
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,39466701,ijankauskait,TbhWT0BB
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,46139849,jjonaitis,2yVTqYxv
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,68196222,gbaranauskait,GWYwB4XC
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,16921547,gjankauskait,FPHyOAZd
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,10864179,rjonait,Cs2Js3le
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,74279289,ovasiliauskait,uzWsv08f
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,87597297,gpetrauskait,YUt51fEI
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,63971560,ppetrauskas,Xi1uAX1f
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,52548252,opetrauskait,y9voc35B
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,39486944,durbonas,IG7OXmGM
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,83133636,aliauskas,Rqgitue4
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,55717961,gjankauskait,A22Y3bjy
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,71376662,gkazlauskait,OVYLwbdM
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,85256781,ljonait,b9ku119p
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,26003760,obaranauskait,efzLcgoM
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,74907458,jaliauskas,61TiAawb
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,45575936,mpupinis,3rm5VNSM
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,81133089,gpetrauskait,Ocvv284q
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,48068808,mpupinis,LuUks1b6
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,13147589,ijankauskait,eHuT0NEV
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,85035061,jjonaitis,QvPfLrhB
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,19990623,gbaranauskait,mT2ShqHo
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,91305612,gjankauskait,omAfXQ8t
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,93083938,rjonait,OLSWOC2Z
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,35176788,ovasiliauskait,9KquK9HJ
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,30390936,gpetrauskait,gpToVzvL
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,12076213,ppetrauskas,iuknrx49
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,92653170,opetrauskait,2H88LgWN
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,79603767,durbonas,JEAz74xF
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,58376253,aliauskas,Z5KTh5we
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,64430892,kurbonas,d1RJO0Zr
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,35295781,gjankauskait,hNFoUT33
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,58478107,gkazlauskait,Pcr2qKdc
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,99739965,ljonait,Q4v0L6vq
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,69749321,obaranauskait,f0ad6SfD
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,89214297,jaliauskas,bKueZbDW
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,57164001,mpupinis,cKnrCWFj
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,84474002,gpetrauskait,62WH7RyQ
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,30391819,mpupinis,weH9dUUA
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,72342261,ijankauskait,QmvMDzyw
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,32951570,jjonaitis,HWtdxVSR
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,47107169,gbaranauskait,yN51W8sX
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,56772970,gjankauskait,0Ez3XkSV
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,80202847,rjonait,n2OP9t0d
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,25902764,ovasiliauskait,K8bQxRa1
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,11570109,gpetrauskait,c1VBYA66
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,42508403,ppetrauskas,6KPyX6hY
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,81628400,opetrauskait,DY6tXpUk
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,10178055,durbonas,VDnGK8ty
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,80822337,aliauskas,wa7qHQye
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,92086548,kurbonas,Y4tO6eXX
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,70366554,gjankauskait,HP0MzoGW
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,39545669,gkazlauskait,wwvgdYGs
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,10329316,ljonait,FPtIH2Ls
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,77880328,obaranauskait,2DRs4Krw
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,31411230,jaliauskas,u7mNmRfy
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,81401855,mpupinis,WX8Vyuqd
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,94539079,gpetrauskait,3ovNlgP6
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,52865336,mpupinis,LclzMKhc
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,91243749,ijankauskait,H4qGzAQI
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,58547826,jjonaitis,ReefEYGC
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,35959476,gbaranauskait,ubiC0U0W
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,72086604,gjankauskait,UNGVdv2v
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,70829136,rjonait,M2hfQ4Cf
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,60992420,ovasiliauskait,6NWRHoK9
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,46426530,gpetrauskait,APhVurUH
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,57114003,ppetrauskas,rj4Kv4hc
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,44822472,opetrauskait,4ia4VbFy
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,19872917,durbonas,C68LGOIR
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,31999655,aliauskas,SwHBYhc8
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,37830039,kurbonas,8gpoXZvM
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,42710419,gjankauskait,sp3V55HN
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,96218378,gkazlauskait,W5gvKdSh
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,74535388,ljonait,bFT9WOxu
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,32423641,obaranauskait,Ws86oKip
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,94567974,jaliauskas,Y5hOGk3D
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,41323011,mpupinis,9u5V7FR8
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,71951653,gpetrauskait,6Fnek5NS
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,18445767,mpupinis,SW6BIWAn
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,72929597,ijankauskait,Z6PqVcWd
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,21804685,jjonaitis,AxhXqCrv
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,33146099,gbaranauskait,T9HSZprO
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,57562103,gjankauskait,jJdMIzIF
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,86701957,rjonait,vweu5pU2
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,51740758,ovasiliauskait,4u0BU1dR
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,43082810,gpetrauskait,NCFS62j5
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,95339749,ppetrauskas,rLGVx35u
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,30315262,opetrauskait,eaoGvA5n
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,31200168,durbonas,PutdyvE7
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,84284014,aliauskas,ycURNC6N
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,98075296,kurbonas,ah9u5rpG
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,37298338,gjankauskait,Lf1vzSFc
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,98422947,gkazlauskait,HCbPYi7z
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,10165584,ljonait,jEeLW6s6
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,40709643,obaranauskait,FXITOMq1
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,20499645,jaliauskas,eq5i5oHd
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,89174259,mpupinis,DQiA3BOp
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,14250244,gpetrauskait,lWNBoICy
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,13552368,mpupinis,sct436hm
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,37231865,ijankauskait,f9vHPLtl
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,41287010,jjonaitis,Th7IRwsU
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,44260232,gbaranauskait,Skh0FIbC
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,85979339,gjankauskait,hLeYUn8t
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,79212063,rjonait,cy54Y4Fr
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,20924933,ovasiliauskait,dGRRvvWR
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,60677543,gpetrauskait,9ANuTqRa
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,45474135,ppetrauskas,B4Sde9ih
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,80502968,opetrauskait,HLewkBSN
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,44411552,durbonas,AzLhwwva
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,13174026,aliauskas,QskjVxxv
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,32875294,kurbonas,pNDcTUTf
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,68495167,gjankauskait,01UwSOCP
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,87036163,gkazlauskait,P3ZC7BMF
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,37163375,ljonait,c5Cbqb7n
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,73765338,obaranauskait,y7J3hAI5
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,18195278,jaliauskas,okrb3GK8
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,98882457,mpupinis,ZaY8VF3g
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,27671989,gpetrauskait,rvjpSOTY
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,57737747,mpupinis,uVdoe0uv
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,17652909,ijankauskait,AxZUx9Eh
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,16249431,jjonaitis,DrkhovnO
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,37088855,gbaranauskait,ko1z0jXS
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,93843805,gjankauskait,J2bMyXhN
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,51470568,rjonait,WkuzeaPL
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,25838980,ovasiliauskait,HLta7O8h
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,78145525,gpetrauskait,7tsrkBn1
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,33279475,ppetrauskas,2mwu6Ywd
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,13595899,opetrauskait,VA4HKcS5
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,25432245,durbonas,DPNtEzLB
Trolis,Mumis,trolis@takas.lt,60000000,45399547,jizo83uv,GFdlrZdIof
admin,admin,admin@admin.lt,600000,12345678,admin,admin
